Hour,net_consensus_kw,net_seed_std_kw,wind_kw
0,22.318602360729756,0.0,0.1657033889145036
1,-2.2475884028438196,0.0,0.010082602355645487
2,6.909882599481631,0.0,0.648549234148002
3,7.517560093579368,0.0,0.2895277713918026
4,7.247725157799895,0.0,0.0
5,5.709834810755594,0.0,0.15893008612331663
6,18.10586449913827,0.0,0.22389602444304485
7,25.603625240601367,0.0,0.40290255617787474
8,46.312942790296525,0.0,0.5718753475034459
9,26.990375968705642,0.0,0.9447270144858002
10,9.333223436026724,0.0,0.9779594735386138
11,7.43009906561683,0.0,0.9779594735386138
12,4.356233509754263,0.0,0.864597652429633
13,2.268690002795439,0.0,1.0997147657565889
14,1.4977648371312657,0.0,1.0997147657565889
15,7.448417843070737,0.0,1.1545393214494148
16,3.638496981456502,0.0,1.5625834389333293
17,10.212143538345265,0.0,0.7593295356043258
18,14.205221737887047,0.0,0.3439026768466462
19,3.2976367626796748,0.0,0.14570771812751457
20,95.47968551455652,0.0,0.0
21,30.569672463210143,0.0,0.0
22,44.95622091901771,0.0,0.0
23,46.895959943452574,0.0,0.0
24,20.802936817133812,0.0,0.045059477103331455
25,15.007726902512442,0.0,0.7449344646393005
26,15.933310479294043,0.0,1.6076177965550589
27,11.241913684927258,0.0,1.7957956200243523
28,10.135482234945226,0.0,0.7166180067306035
29,10.903160804214103,0.0,0.6618553562373705
30,19.319815978489043,0.0,0.3927400529534638
31,23.36113726224609,0.0,0.4448984609443069
32,44.18976938388429,0.0,0.48908974257723165
33,32.66145474049608,0.0,0.7738836665174809
34,21.235016627118473,0.0,0.864597652429633
35,3.443612694992436,0.0,0.864597652429633
36,0.7889645804247641,0.0,0.7026948718754134
37,1.5686558459031983,0.0,0.6889273011453173
38,0.34937121315307007,0.0,0.648549234148002
39,7.312273599101468,0.0,0.6095397818692089
40,6.149706183997036,0.0,1.064053583649642
41,2.1364648766246606,0.0,0.2895277713918026
42,19.064382404668557,0.0,0.15893008612331663
43,16.039889715463588,0.0,0.43419585306086267
44,72.00433569125275,0.0,0.7593295356043258
45,45.58200511594196,0.0,0.9447270144858002
46,28.700140201628198,0.0,0.6353951803606919
47,72.60820839061843,0.0,1.26907297157186
48,-3.6538387109994592,0.0,0.5475013040233906
49,22.276241898311287,0.0,0.9779594735386138
50,15.889917059352879,0.0,0.9612580333257092
51,7.497118395459312,0.0,0.18668225993031592
52,12.234919815236461,0.0,0.0
53,10.72805956113165,0.0,0.0
54,18.988451207787143,0.0,0.0
55,10.445188763843378,0.0,0.0
56,57.78840122001941,0.0,0.0
57,53.920500748369484,0.0,0.0
58,19.46497741980222,0.0,0.14570771812751457
59,7.733415556623672,0.0,0.3927400529534638
60,5.05111486140464,0.0,0.38271039100441406
61,2.507440809240316,0.0,0.09701323378728598
62,4.933018868210694,0.0,0.22389602444304485
63,12.437745411221577,0.0,0.05965147943270764
64,-0.09898194783678838,0.0,0.0
65,15.761131014416476,0.0,0.0
66,15.4999087788779,0.0,0.3345241119380172
67,2.0305307060676476,0.0,2.622680121801129
68,122.19747898575264,0.0,7.319276857521596
69,19.679956704418444,0.0,10.0
70,56.65885064483929,0.0,4.654176300197655
71,38.243206966739265,0.0,5.6062054402849215
72,17.618297150933046,0.0,1.5850014237655532
73,15.447816303080836,0.0,0.6618553562373705
74,13.6844009226057,0.0,0.1392569050113817
75,11.677220500908692,0.0,0.5237075671672803
76,6.391495829055514,0.0,0.9447270144858002
77,13.575705697314792,0.0,1.5850014237655532
78,16.406937471150425,0.0,1.1360855999398067
79,7.730420013873784,0.0,0.648549234148002
