timestamp,day,soc,price,battery_power_mw,shield_delta,min_bus_voltage_pu,max_line_loading_pct
2024-01-01 00:00:00,0.0,0.5009729743136891,0.23083,-0.0034871399402618,0.0,0.949777645239243,48.97818905454838
2024-01-01 00:15:00,0.010416666666666666,0.5025105878843793,0.23083,-0.0055108070373535,0.0,0.9498582206779154,48.9242117367899
2024-01-01 00:30:00,0.020833333333333332,0.5044049021588373,0.23083,-0.0067892223596572,0.0,0.9499492543022442,48.85839356350873
2024-01-01 00:45:00,0.03125,0.5065402522782928,0.23083,-0.0076530948281288,0.0,0.9500452140510504,48.78686162146788
2024-01-01 01:00:00,0.041666666666666664,0.5088492472839009,0.23083,-0.0082754381000995,0.0,0.9501426167993748,48.713392471418615
2024-01-01 01:15:00,0.052083333333333336,0.5112864919563954,0.23083,-0.0087350849062204,0.0,0.9500536521978964,48.81199643290409
2024-01-01 01:30:00,0.0625,0.5138089284778938,0.23083,-0.00904041249305,0.0,0.9499610706329432,48.91372870000898
2024-01-01 01:45:00,0.07291666666666667,0.5163891654665349,0.23083,-0.0092475693672895,0.0,0.9497126266830952,49.16564568587165
2024-01-01 02:00:00,0.08333333333333333,0.5190097447817347,0.23083,-0.009392156265676,0.0,0.9493901161953956,49.488866311007165
2024-01-01 02:15:00,0.09375,0.5216523705083611,0.23083,-0.0094711706042289,0.0,0.94909318355577,49.77553296823195
2024-01-01 02:30:00,0.10416666666666667,0.5243201471416147,0.23083,-0.0095613114535808,0.0,0.9487673125862808,50.09009476268197
2024-01-01 02:45:00,0.11458333333333333,0.5270124525871195,0.23083,-0.0096492227166891,0.0,0.948401473673612,50.44313989136745
2024-01-01 03:00:00,0.125,0.5297296077665774,0.23083,-0.009738284163177,0.0,0.9479811980882586,50.848604152964825
2024-01-01 03:15:00,0.13541666666666666,0.5324894434535444,0.23083,-0.0098912511020898,0.0,0.9476125278958114,51.20439716249643
2024-01-01 03:30:00,0.14583333333333334,0.5352828428731301,0.23083,-0.0100115435197949,0.0,0.9471526285870924,51.64795802963573
2024-01-01 03:45:00,0.15625,0.5381111848193022,0.23083,-0.0101367775350809,0.0,0.9465770417391,52.20288118577766
2024-01-01 04:00:00,0.16666666666666666,0.5409808341958394,0.23083,-0.0102848233655095,0.0,0.9458593801310834,52.894522235025455
2024-01-01 04:15:00,0.17708333333333334,0.5438973804973233,0.23083,-0.010452901944518,0.0,0.9449363584433036,53.78363552219636
2024-01-01 04:30:00,0.1875,0.5468675435903216,0.23083,-0.0106450645253062,0.0,0.9438170999580856,54.86116444185461
2024-01-01 04:45:00,0.19791666666666666,0.5499021215156452,0.23083,-0.0108759272843599,0.0,0.9424789279696244,56.14860861087186
2024-01-01 05:00:00,0.20833333333333334,0.553013023976486,0.23083,-0.0111494744196534,0.0,0.9409061336456944,57.66061614479448
2024-01-01 05:15:00,0.21875,0.5561923108242418,0.23083,-0.0113945640623569,0.0,0.9394783132711862,59.03214712443335
2024-01-01 05:30:00,0.22916666666666666,0.5593985722454298,0.23083,-0.0114912409335374,0.0,0.9378468642991756,60.5975236087604
2024-01-01 05:45:00,0.23958333333333334,0.5626047544106508,0.23083,-0.0114909568801522,0.0,0.9360392494020958,62.33004941404875
