metric,mean,std,n
SOC mid-band dwell,0.2043616818873668,0.15576915850494985,6
Peak discharge,0.2470034246575342,0.26336954091649833,6
Valley charge,0.2774217221135029,0.09572576498571257,6
Infeasible dwell,0.061306126331811234,0.07295501345520494,6
Mean shield delta,0.0,0.0,6
Inventory-teacher gap,0.30133881339459984,0.08676097762601889,6
